"Region_1","Region_2","Jaccard_Index_total","Jaccard_Index_native","Jaccard_Index_exotic","HI"
"Bolivian montane dry forests","Central Andean puna",0.284615384615385,0.28367234744365,0.327935222672065,0.000943037171734273
"Cauca Valley dry forests","Central Andean puna",0.0749588138385502,0.0749896992171405,0.0855263157894737,-3.08853785902646e-05
"Cauca Valley montane forests","Central Andean puna",0.0654251812788398,0.0650955833882663,0.125373134328358,0.000329597890573491
"Central Andean dry puna","Central Andean puna",0.15211970074813,0.149812734082397,0.196078431372549,0.00230696666573266
"Araya and Paria xeric scrub","Central Andean wet puna",0.0373548712771328,0.0373737373737374,0.0217391304347826,-1.88660966046125e-05
"Atacama desert","Central Andean wet puna",0.0241657077100115,0.0241796200345423,0.104477611940299,-1.39123245308098e-05
"Bolivian Yungas","Central Andean wet puna",0.278048780487805,0.277749229188078,0.278260869565217,0.000299551299726808
"Bolivian montane dry forests","Central Andean wet puna",0.285658914728682,0.284994183792168,0.372727272727273,0.000664730936514646
"Cauca Valley dry forests","Central Andean wet puna",0.0918770915728628,0.0919050517346318,0.0780141843971631,-2.79601617689806e-05
"Cauca Valley montane forests","Central Andean wet puna",0.149120098795925,0.148988729350008,0.154605263157895,0.000131369445916935
"Central Andean dry puna","Central Andean wet puna",0.0751412429378531,0.0734463276836158,0.211111111111111,0.00169491525423729
"Central Andean puna","Central Andean wet puna",0.191854759568204,0.191458026509573,0.318007662835249,0.000396733058631193
"Araya and Paria xeric scrub","Chilean matorral",0.0157593123209169,0.0158045977011494,0.010443864229765,-4.52853802325216e-05
"Atacama desert","Chilean matorral",0.124352331606218,0.125,0.134770889487871,-0.000647668393782386
"Bolivian Yungas","Chilean matorral",0.0324047754405912,0.030992323002559,0.0883002207505519,0.00141245243803225
"Bolivian montane dry forests","Chilean matorral",0.0741144414168937,0.0725190839694656,0.128378378378378,0.00159535744742809
"Cauca Valley dry forests","Chilean matorral",0.0288990825688073,0.0289256198347107,0.0371134020618557,-2.65372659034036e-05
"Cauca Valley montane forests","Chilean matorral",0.0240134340890008,0.0235096557514694,0.0658914728682171,0.000503778337531485
"Central Andean dry puna","Chilean matorral",0.107355864811133,0.103792415169661,0.120967741935484,0.00356344964147252
"Central Andean puna","Chilean matorral",0.132845188284519,0.132075471698113,0.162740899357602,0.000769716586405622
"Central Andean wet puna","Chilean matorral",0.0795811518324607,0.0785751702462022,0.156599552572707,0.00100598158625853
"Araya and Paria xeric scrub","Cordillera Central paramo",0.0112219451371571,0.0112219451371571,0,0
"Atacama desert","Cordillera Central paramo",0.00562851782363977,0.00562851782363977,0,0
"Bolivian Yungas","Cordillera Central paramo",0.04652466367713,0.0465768799102132,0.0472972972972973,-5.22162330831993e-05
"Bolivian montane dry forests","Cordillera Central paramo",0.0512170385395538,0.0512690355329949,0.0516129032258065,-5.19969934411682e-05
"Cauca Valley dry forests","Cordillera Central paramo",0.0169124024284475,0.0169124024284475,0.00609756097560976,0
"Cauca Valley montane forests","Cordillera Central paramo",0.0381781647689216,0.0381845587003852,0.0241545893719807,-6.39393146355943e-06
"Central Andean dry puna","Cordillera Central paramo",0.0248833592534992,0.0249609984399376,0.0394736842105263,-7.7639186438376e-05
"Central Andean puna","Cordillera Central paramo",0.0561497326203209,0.056199821587868,0.0732984293193717,-5.00889675471156e-05
"Central Andean wet puna","Cordillera Central paramo",0.0918264379414733,0.0918727915194346,0.0914634146341463,-4.63535779613722e-05
"Chilean matorral","Cordillera Central paramo",0.0276381909547739,0.0277078085642317,0.0161290322580645,-6.96176094578671e-05
"Araya and Paria xeric scrub","Cordillera La Costa montane forests",0.136490250696379,0.136490250696379,0.164948453608247,0
"Atacama desert","Cordillera La Costa montane forests",0.0097254004576659,0.0097254004576659,0.0352112676056338,0
"Bolivian Yungas","Cordillera La Costa montane forests",0.220309810671256,0.219926199261993,0.140625,0.000383611409263851
"Bolivian montane dry forests","Cordillera La Costa montane forests",0.184361549497848,0.184493898061737,0.101941747572816,-0.000132348563889356
"Cauca Valley dry forests","Cordillera La Costa montane forests",0.214819850441876,0.214819850441876,0.198952879581152,0
"Cauca Valley montane forests","Cordillera La Costa montane forests",0.184093082562958,0.184122429459589,0.174468085106383,-2.93468966304777e-05
"Central Andean dry puna","Cordillera La Costa montane forests",0.0188882892606584,0.0178089584457636,0.036231884057971,0.00107933081489477
"Central Andean puna","Cordillera La Costa montane forests",0.0898419864559819,0.0898825654923216,0.0934959349593496,-4.05790363396386e-05
"Central Andean wet puna","Cordillera La Costa montane forests",0.12202380952381,0.122064174660933,0.08,-4.03651371233271e-05
"Chilean matorral","Cordillera La Costa montane forests",0.0240120060030015,0.0235235235235235,0.0255220417633411,0.000488482479477977
"Cordillera Central paramo","Cordillera La Costa montane forests",0.0218735140275796,0.0218735140275796,0.04,0
"Araya and Paria xeric scrub","Cordillera Oriental montane forests",0.049573666468372,0.049573666468372,0.0897435897435897,0
"Atacama desert","Cordillera Oriental montane forests",0.00500700981373923,0.00500700981373923,0.0251256281407035,0
"Bolivian Yungas","Cordillera Oriental montane forests",0.264778325123153,0.264746650238719,0.159663865546218,3.16748844340631e-05
"Bolivian montane dry forests","Cordillera Oriental montane forests",0.156084656084656,0.155935791144823,0.126984126984127,0.000148864939833349
"Cauca Valley dry forests","Cordillera Oriental montane forests",0.203207613676419,0.203207613676419,0.554347826086957,0
"Cauca Valley montane forests","Cordillera Oriental montane forests",0.393425515262197,0.393476842791911,0.593301435406699,-5.13275297145954e-05
"Central Andean dry puna","Cordillera Oriental montane forests",0.015004935834156,0.0148104265402844,0.0256410256410256,0.000194509293871612
"Central Andean puna","Cordillera Oriental montane forests",0.0632270168855535,0.0632388815912929,0.116438356164384,-1.18647057394533e-05
"Central Andean wet puna","Cordillera Oriental montane forests",0.143692996041989,0.143717728055077,0.123595505617978,-2.47320130881412e-05
"Chilean matorral","Cordillera Oriental montane forests",0.0182516810758886,0.0178674351585014,0.0483193277310924,0.000384245917387126
"Cordillera Central paramo","Cordillera Oriental montane forests",0.0366532335444253,0.0366532335444253,0.0454545454545455,0
"Cordillera La Costa montane forests","Cordillera Oriental montane forests",0.208933454876937,0.208933454876937,0.25,0
"Araya and Paria xeric scrub","Cordillera de Merida paramo",0.0247252747252747,0.0247252747252747,0,0
"Atacama desert","Cordillera de Merida paramo",0.0150862068965517,0.0150862068965517,0,0
"Bolivian Yungas","Cordillera de Merida paramo",0.0467902995720399,0.0468437589260211,0.0211267605633803,-5.34593539811903e-05
"Bolivian montane dry forests","Cordillera de Merida paramo",0.0624338624338624,0.0625,0.02,-6.61375661375682e-05
"Cauca Valley dry forests","Cordillera de Merida paramo",0.0284167794316644,0.0284167794316644,0.0264900662251656,0
"Cauca Valley montane forests","Cordillera de Merida paramo",0.0465711361310133,0.0465790820679065,0.0306122448979592,-7.94593689319723e-06
"Central Andean dry puna","Cordillera de Merida paramo",0.0348432055749129,0.034965034965035,0.0298507462686567,-0.000121829390122077
"Central Andean puna","Cordillera de Merida paramo",0.0800385728061716,0.0801158301158301,0.0263157894736842,-7.72573096584767e-05
"Central Andean wet puna","Cordillera de Merida paramo",0.0892579138557343,0.0893042575285566,0.0432098765432099,-4.63436728223021e-05
"Chilean matorral","Cordillera de Merida paramo",0.0443828016643551,0.0445062586926286,0.00272479564032698,-0.000123457028273585
"Cordillera Central paramo","Cordillera de Merida paramo",0.104651162790698,0.104651162790698,0.153846153846154,0
"Cordillera La Costa montane forests","Cordillera de Merida paramo",0.0546558704453441,0.0546558704453441,0.0804597701149425,0
"Cordillera Oriental montane forests","Cordillera de Merida paramo",0.055786350148368,0.055786350148368,0.0633802816901408,0
"Araya and Paria xeric scrub","Eastern Cordillera real montane forests",0.0251755265797392,0.0251780519610793,0.036144578313253,-2.52538134012589e-06
"Atacama desert","Eastern Cordillera real montane forests",0.00668016194331984,0.00657894736842105,0.0721247563352826,0.000101214574898786
"Bolivian Yungas","Eastern Cordillera real montane forests",0.273273273273273,0.273158914728682,0.184761904761905,0.000114358544591131
"Bolivian montane dry forests","Eastern Cordillera real montane forests",0.13726849559275,0.137083993660856,0.188679245283019,0.000184501931894537
"Cauca Valley dry forests","Eastern Cordillera real montane forests",0.118245814307458,0.118257064028161,0.196969696969697,-1.12497207028217e-05
"Cauca Valley montane forests","Eastern Cordillera real montane forests",0.319861334235225,0.319803822086927,0.252767527675277,5.75121482974117e-05
"Central Andean dry puna","Eastern Cordillera real montane forests",0.0163520742909054,0.0161518271754492,0.06640625,0.000200247115456197
"Central Andean puna","Eastern Cordillera real montane forests",0.0596059605960596,0.0594059405940594,0.219600725952813,0.000200020002000201
"Central Andean wet puna","Eastern Cordillera real montane forests",0.151756393671012,0.151671974522293,0.232824427480916,8.44191487190393e-05
"Chilean matorral","Eastern Cordillera real montane forests",0.0247470193367398,0.0244464482516782,0.193502824858757,0.000300571085061617
"Cordillera Central paramo","Eastern Cordillera real montane forests",0.0456523939670007,0.0456570155902004,0.0325865580448065,-4.62162319973813e-06
"Cordillera La Costa montane forests","Eastern Cordillera real montane forests",0.118107951247824,0.118011220739021,0.10873786407767,9.67305088024895e-05
"Cordillera Oriental montane forests","Eastern Cordillera real montane forests",0.274698795180723,0.274722437387038,0.214700193423598,-2.36422063156216e-05
"Cordillera de Merida paramo","Eastern Cordillera real montane forests",0.0288663927032174,0.028869286287089,0.0184426229508197,-2.89358387161459e-06
"Araya and Paria xeric scrub","High Monte",0.0260736196319018,0.0261538461538462,0.00975609756097561,-8.02265219443134e-05
"Atacama desert","High Monte",0.0944444444444444,0.0949720670391061,0.147619047619048,-0.0005276225946617
"Bolivian Yungas","High Monte",0.0505995905235449,0.0500732064421669,0.159259259259259,0.000526384081377985
"Bolivian montane dry forests","High Monte",0.136550912301354,0.134864546525324,0.225190839694656,0.00168636577602985
"Cauca Valley dry forests","High Monte",0.0357310766337565,0.035277516462841,0.0453074433656958,0.000453560170915447
"Cauca Valley montane forests","High Monte",0.0233108108108108,0.0228040540540541,0.072463768115942,0.000506756756756759
"Central Andean dry puna","High Monte",0.193995381062356,0.190255220417633,0.17910447761194,0.00374016064472227
"Central Andean puna","High Monte",0.325285895806862,0.32484076433121,0.429133858267717,0.000445131475651339
"Central Andean wet puna","High Monte",0.0912034538586077,0.0913513513513513,0.248148148148148,-0.000147897492743687
"Chilean matorral","High Monte",0.163511187607573,0.158620689655172,0.185840707964602,0.00489049795240074
"Cordillera Central paramo","High Monte",0.0304635761589404,0.0305444887118194,0.0366492146596859,-8.09125528789915e-05
"Cordillera La Costa montane forests","High Monte",0.0366735537190083,0.0356404958677686,0.0607287449392713,0.00103305785123967
"Cordillera Oriental montane forests","High Monte",0.0223517978620019,0.0219630709426628,0.0633333333333333,0.000388726919339166
"Cordillera de Merida paramo","High Monte",0.0393586005830904,0.0394736842105263,0.0162162162162162,-0.000115083627435932
"Eastern Cordillera real montane forests","High Monte",0.0253623188405797,0.0251635631605435,0.185383244206774,0.000198755680036179
"Araya and Paria xeric scrub","La Costa xeric shrublands",0.145955451348183,0.145955451348183,0.204301075268817,0
"Atacama desert","La Costa xeric shrublands",0.0132689987937274,0.0132689987937274,0.028169014084507,0
"Bolivian Yungas","La Costa xeric shrublands",0.199115044247788,0.199015990159902,0.117948717948718,9.90540878860191e-05
"Bolivian montane dry forests","La Costa xeric shrublands",0.172803499817718,0.172501823486506,0.0865384615384615,0.000301676331211642
"Cauca Valley dry forests","La Costa xeric shrublands",0.235481586402266,0.235481586402266,0.181347150259067,0
"Cauca Valley montane forests","La Costa xeric shrublands",0.16793893129771,0.167965643391125,0.150627615062762,-2.67120934146214e-05
"Central Andean dry puna","La Costa xeric shrublands",0.0197963800904977,0.0198187995469989,0.0215827338129496,-2.24194565011313e-05
"Central Andean puna","La Costa xeric shrublands",0.0918893577121425,0.0919324577861163,0.0806451612903226,-4.31000739738036e-05
"Central Andean wet puna","La Costa xeric shrublands",0.100099767209844,0.100133067198935,0.0614035087719298,-3.32999890917535e-05
"Chilean matorral","La Costa xeric shrublands",0.0261506276150628,0.0261780104712042,0.0232018561484919,-2.7382856141428e-05
"Cordillera Central paramo","La Costa xeric shrublands",0.0147492625368732,0.0147492625368732,0.00980392156862745,0
"Cordillera La Costa montane forests","La Costa xeric shrublands",0.409071459135644,0.409071459135644,0.504504504504504,0
"Cordillera Oriental montane forests","La Costa xeric shrublands",0.196053352822949,0.196053352822949,0.224043715846995,0
"Cordillera de Merida paramo","La Costa xeric shrublands",0.0471451021477213,0.0471451021477213,0.0449438202247191,0
"Eastern Cordillera real montane forests","La Costa xeric shrublands",0.10688790275902,0.10689821514713,0.0898661567877629,-1.03123881098899e-05
"High Monte","La Costa xeric shrublands",0.0377969762419006,0.0367170626349892,0.0398406374501992,0.00107991360691145
"Araya and Paria xeric scrub","Magdalena Valley dry forests",0.0926680244399185,0.0926680244399185,0.0958904109589041,0
"Atacama desert","Magdalena Valley dry forests",0.0151926207270754,0.0151926207270754,0.0264550264550265,0
"Bolivian Yungas","Magdalena Valley dry forests",0.161016949152542,0.160632447296059,0.141630901287554,0.000384501856483699
"Bolivian montane dry forests","Magdalena Valley dry forests",0.155645981688708,0.155359565807327,0.113821138211382,0.000286415881381036
"Cauca Valley dry forests","Magdalena Valley dry forests",0.332850416515755,0.332850416515755,0.623529411764706,0
"Cauca Valley montane forests","Magdalena Valley dry forests",0.200796812749004,0.200828817341409,0.575609756097561,-3.20045924049883e-05
"Central Andean dry puna","Magdalena Valley dry forests",0.0262480699948533,0.0252187339166238,0.00529100529100529,0.00102933607822954
"Central Andean puna","Magdalena Valley dry forests",0.0866752910737387,0.0867126833477136,0.0934256055363322,-3.73922739748678e-05
"Central Andean wet puna","Magdalena Valley dry forests",0.0937793060331353,0.0938086303939962,0.0661764705882353,-2.9324360860894e-05
"Chilean matorral","Magdalena Valley dry forests",0.0301435406698565,0.0296792723791288,0.0360169491525424,0.000464268290727689
"Cordillera Central paramo","Magdalena Valley dry forests",0.023604176123468,0.023604176123468,0.0134228187919463,0
"Cordillera La Costa montane forests","Magdalena Valley dry forests",0.210562890896456,0.210562890896456,0.221590909090909,0
"Cordillera Oriental montane forests","Magdalena Valley dry forests",0.205187835420394,0.205187835420394,0.554285714285714,0
"Cordillera de Merida paramo","Magdalena Valley dry forests",0.0438512869399428,0.0438512869399428,0.0291970802919708,0
"Eastern Cordillera real montane forests","Magdalena Valley dry forests",0.100471698113208,0.100481177469573,0.186180422264875,-9.47935636505526e-06
"High Monte","Magdalena Valley dry forests",0.0450049455984174,0.0445324096981692,0.0510204081632653,0.000472535900248185
"La Costa xeric shrublands","Magdalena Valley dry forests",0.249173098125689,0.249173098125689,0.209039548022599,0
"Araya and Paria xeric scrub","Magdalena Valley montane forests",0.0287873641304348,0.0287873641304348,0.0727272727272727,0
"Atacama desert","Magdalena Valley montane forests",0.00543478260869565,0.00543478260869565,0.0344827586206897,0
"Bolivian Yungas","Magdalena Valley montane forests",0.203810438680756,0.2034902337496,0.155405405405405,0.000320204931155949
"Bolivian montane dry forests","Magdalena Valley montane forests",0.110216615486762,0.110050626608017,0.155115511551155,0.000165988878745124
"Cauca Valley dry forests","Magdalena Valley montane forests",0.154542378616139,0.154542378616139,0.660377358490566,0
"Cauca Valley montane forests","Magdalena Valley montane forests",0.445059027491125,0.444976471559482,0.821917808219178,8.25559316436908e-05
"Central Andean dry puna","Magdalena Valley montane forests",0.0129551227773074,0.0127857747671465,0.027027027027027,0.000169348010160881
"Central Andean puna","Magdalena Valley montane forests",0.0509087849209021,0.0508246381689667,0.129682997118156,8.41467519353753e-05
"Central Andean wet puna","Magdalena Valley montane forests",0.107201578428149,0.107119368628741,0.154574132492114,8.22097994080812e-05
"Chilean matorral","Magdalena Valley montane forests",0.0264182895850974,0.0262489415749365,0.0700757575757576,0.000169348010160879
"Cordillera Central paramo","Magdalena Valley montane forests",0.0227576974564926,0.0227576974564926,0.0271493212669683,0
"Cordillera La Costa montane forests","Magdalena Valley montane forests",0.134412682350957,0.134412682350957,0.182926829268293,0
"Cordillera Oriental montane forests","Magdalena Valley montane forests",0.379065543998679,0.379065543998679,0.574660633484163,0
"Cordillera de Merida paramo","Magdalena Valley montane forests",0.032523777173913,0.032523777173913,0.0382775119617225,0
"Eastern Cordillera real montane forests","Magdalena Valley montane forests",0.320515168162119,0.320454129280352,0.252707581227437,6.10388817676721e-05
"High Monte","Magdalena Valley montane forests",0.021992894603282,0.0218237184909491,0.0784313725490196,0.000169176112332938
"La Costa xeric shrublands","Magdalena Valley montane forests",0.12639029322548,0.12639029322548,0.164658634538153,0
"Magdalena Valley dry forests","Magdalena Valley montane forests",0.14819205690575,0.14819205690575,0.579439252336449,0
"Araya and Paria xeric scrub","Magellanic subpolar forests",0.00252525252525253,0.00252525252525253,0,0
"Atacama desert","Magellanic subpolar forests",0.0252100840336134,0.0252100840336134,0.0549450549450549,0
"Bolivian Yungas","Magellanic subpolar forests",0.00606060606060606,0.00606796116504854,0.051792828685259,-7.355104442483e-06
"Bolivian montane dry forests","Magellanic subpolar forests",0.0115853658536585,0.0109823062843197,0.0836653386454183,0.000603059569338829
"Cauca Valley dry forests","Magellanic subpolar forests",0.00207576543850545,0.00207576543850545,0.00735294117647059,0
"Cauca Valley montane forests","Magellanic subpolar forests",0.00329460724813595,0.00312120686665511,0.0422077922077922,0.000173400381480839
"Central Andean dry puna","Magellanic subpolar forests",0.0425531914893617,0.0429184549356223,0.0867052023121387,-0.000365263446260616
"Central Andean puna","Magellanic subpolar forests",0.0335120643431635,0.0335570469798658,0.154411764705882,-4.49826367022316e-05
"Central Andean wet puna","Magellanic subpolar forests",0.0156703424260012,0.0156794425087108,0.147410358565737,-9.10008270963922e-06
"Chilean matorral","Magellanic subpolar forests",0.0918918918918919,0.0923913043478261,0.170673076923077,-0.000499412455934184
"Cordillera Central paramo","Magellanic subpolar forests",0.0181086519114688,0.0181086519114688,0.0492957746478873,0
"Cordillera La Costa montane forests","Magellanic subpolar forests",0.00289017341040462,0.00289017341040462,0.00471698113207547,0
"Cordillera Oriental montane forests","Magellanic subpolar forests",0.00341983504325086,0.00341983504325086,0.0305343511450382,0
"Cordillera de Merida paramo","Magellanic subpolar forests",0.0161290322580645,0.0161290322580645,0.0145985401459854,0
"Eastern Cordillera real montane forests","Magellanic subpolar forests",0.00374531835205993,0.00374569750961733,0.1,-3.79157557406362e-07
"High Monte","Magellanic subpolar forests",0.0340909090909091,0.0342857142857143,0.162878787878788,-0.000194805194805199
"La Costa xeric shrublands","Magellanic subpolar forests",0.000606428138265616,0.000606428138265616,0.004739336492891,0
"Magdalena Valley dry forests","Magellanic subpolar forests",0.00381679389312977,0.00381679389312977,0.0196078431372549,0
"Magdalena Valley montane forests","Magellanic subpolar forests",0.00348372843911972,0.00348372843911972,0.0467289719626168,0
"Araya and Paria xeric scrub","Maranon dry forests",0.0422993492407809,0.0422993492407809,0.0298507462686567,0
"Atacama desert","Maranon dry forests",0.0117994100294985,0.0117994100294985,0.0618556701030928,0
"Bolivian Yungas","Maranon dry forests",0.0855226383454444,0.0856183547845551,0.0416666666666667,-9.57164391107435e-05
"Bolivian montane dry forests","Maranon dry forests",0.073394495412844,0.0734654422426293,0.0397727272727273,-7.09468297852428e-05
"Cauca Valley dry forests","Maranon dry forests",0.0576515472657906,0.0576515472657906,0.0818713450292398,0
"Cauca Valley montane forests","Maranon dry forests",0.0482007263123143,0.0482086841670794,0.0892018779342723,-7.95785476512267e-06
"Central Andean dry puna","Maranon dry forests",0.0150564617314931,0.0150943396226415,0.0421052631578947,-3.78778911484107e-05
"Central Andean puna","Maranon dry forests",0.03328173374613,0.0333075135553834,0.0922330097087379,-2.57798092533901e-05
"Central Andean wet puna","Maranon dry forests",0.079794680354643,0.0798319327731092,0.137142857142857,-3.72524184662076e-05
"Chilean matorral","Maranon dry forests",0.0114942528735632,0.0115183246073298,0.0257731958762887,-2.40717337666244e-05
"Cordillera Central paramo","Maranon dry forests",0.0103871576959396,0.0103871576959396,0.0714285714285714,0
"Cordillera La Costa montane forests","Maranon dry forests",0.0599354541263255,0.0599354541263255,0.107142857142857,0
"Cordillera Oriental montane forests","Maranon dry forests",0.0529110563246729,0.0529110563246729,0.110429447852761,0
"Cordillera de Merida paramo","Maranon dry forests",0.0182370820668693,0.0182370820668693,0.0638297872340425,0
"Eastern Cordillera real montane forests","Maranon dry forests",0.0592278148372751,0.0592338016779541,0.0777096114519427,-5.98684067899813e-06
"High Monte","Maranon dry forests",0.0186608122941822,0.0187018701870187,0.0738916256157636,-4.10578928364859e-05
"La Costa xeric shrublands","Maranon dry forests",0.0583173996175908,0.0583173996175908,0.0884955752212389,0
"Magdalena Valley dry forests","Maranon dry forests",0.0497599301615015,0.0497599301615015,0.103225806451613,0
"Magdalena Valley montane forests","Maranon dry forests",0.0333194154488518,0.0333194154488518,0.0881057268722467,0
"Magellanic subpolar forests","Maranon dry forests",0,0,0.0496894409937888,0
"Araya and Paria xeric scrub","Northern Andean paramo",0.025190516511431,0.0252011859381618,0.0156862745098039,-1.06694267308048e-05
"Atacama desert","Northern Andean paramo",0.00794351279788173,0.00772456411388215,0.0654545454545455,0.000218948683999584
"Bolivian Yungas","Northern Andean paramo",0.184021954566245,0.183829138062548,0.15506329113924,0.00019281650369718
"Bolivian montane dry forests","Northern Andean paramo",0.132863239933197,0.132541303137182,0.180379746835443,0.000321936796015165
"Cauca Valley dry forests","Northern Andean paramo",0.122908962845571,0.122952263519465,0.198083067092652,-4.33006738931041e-05
"Cauca Valley montane forests","Northern Andean paramo",0.330213208528341,0.329996099336887,0.271084337349398,0.000217109191453846
"Central Andean dry puna","Northern Andean paramo",0.0258036300021867,0.0251531058617673,0.111538461538462,0.000650524140419471
"Central Andean puna","Northern Andean paramo",0.0754483611626469,0.075273252216952,0.224188790560472,0.000175108945694918
"Central Andean wet puna","Northern Andean paramo",0.177499049790954,0.177376425855513,0.292358803986711,0.000122623935440713
"Chilean matorral","Northern Andean paramo",0.0336743393009378,0.0332622601279318,0.15748031496063,0.000412079173005994
"Cordillera Central paramo","Northern Andean paramo",0.080750763858577,0.0807860262008734,0.0504201680672269,-3.52623422963105e-05
"Cordillera La Costa montane forests","Northern Andean paramo",0.118733031674208,0.118776027521275,0.0979020979020979,-4.29958470665182e-05
"Cordillera Oriental montane forests","Northern Andean paramo",0.322029147982063,0.322119428090833,0.228476821192053,-9.02801087698801e-05
"Cordillera de Merida paramo","Northern Andean paramo",0.0719456021057249,0.0719771779679614,0.0344827586206897,-3.15758622364409e-05
"Eastern Cordillera real montane forests","Northern Andean paramo",0.291198417693068,0.291044776119403,0.378846153846154,0.000153641573665431
"High Monte","Northern Andean paramo",0.0308615516502357,0.0304459691252144,0.165714285714286,0.00041558252502134
"La Costa xeric shrublands","Northern Andean paramo",0.0973897389738974,0.0974248154150909,0.0646258503401361,-3.50764411935628e-05
"Magdalena Valley dry forests","Northern Andean paramo",0.109601129544652,0.109639830508475,0.172077922077922,-3.87009638222607e-05
"Magdalena Valley montane forests","Northern Andean paramo",0.289340101522843,0.289283731260411,0.281524926686217,5.63702624317153e-05
"Magellanic subpolar forests","Northern Andean paramo",0.00732519422863485,0.00732844770153231,0.188741721854305,-3.25347289746158e-06
"Maranon dry forests","Northern Andean paramo",0.0410120383595185,0.0410287813839559,0.08,-1.67430244374447e-05
"Araya and Paria xeric scrub","Northwestern Andean montane forests",0.0358858057630736,0.0357571714476318,0.0336134453781513,0.000128634315441883
"Atacama desert","Northwestern Andean montane forests",0.00807537012113055,0.00794184950868219,0.0626262626262626,0.000133520612448361
"Bolivian Yungas","Northwestern Andean montane forests",0.2554916010807,0.255081659029491,0.184158415841584,0.000409942051208867
"Bolivian montane dry forests","Northwestern Andean montane forests",0.148035101106448,0.147672348003053,0.209580838323353,0.000362753103395258
"Cauca Valley dry forests","Northwestern Andean montane forests",0.190653008962868,0.19054936611602,0.243353783231084,0.000103642846848162
"Cauca Valley montane forests","Northwestern Andean montane forests",0.498007060699237,0.497665413961963,0.304780876494024,0.00034164673727366
"Central Andean dry puna","Northwestern Andean montane forests",0.0196892579694616,0.0192900200937709,0.0740740740740741,0.000399237875690628
"Central Andean puna","Northwestern Andean montane forests",0.0707801605051967,0.0703854755953164,0.229601518026565,0.000394684909880275
"Central Andean wet puna","Northwestern Andean montane forests",0.162268961121734,0.162182838199668,0.241516966067864,8.6122922065085e-05
"Chilean matorral","Northwestern Andean montane forests",0.0292676466693153,0.0288741721854305,0.193313953488372,0.000393474483884861
"Cordillera Central paramo","Northwestern Andean montane forests",0.043328474890685,0.0433399602385686,0.032051282051282,-1.14853478835469e-05
"Cordillera La Costa montane forests","Northwestern Andean montane forests",0.158142493638677,0.158182743700687,0.109533468559838,-4.0250062010333e-05
"Cordillera Oriental montane forests","Northwestern Andean montane forests",0.349350223872447,0.349279161205767,0.242798353909465,7.10626666806102e-05
